id,shop_name,URL,rate,rocation,comment,smoking
119,星乃珈琲店 東大和店,https://tabelog.com/tokyo/A1328/A132805/13174655/,3.02, 上北台駅 377m / 喫茶店,,分煙
120,ポニー,https://tabelog.com/tokyo/A1323/A132301/13057477/,3.19, 駒込駅 79m / 喫茶店、サンドイッチ,,喫煙可
121,ドトールコーヒーショップ 市ケ谷プラザ店,https://tabelog.com/tokyo/A1309/A130904/13086791/,3.02, 市ケ谷駅 60m / 喫茶店,,分煙
122,遊びなされ,https://tabelog.com/tokyo/A1323/A132301/13089543/,3.04, 駒込駅 228m / 喫茶店、洋食、西洋各国料理（その他）,,
123,喫茶Coda,https://tabelog.com/tokyo/A1329/A132904/13212076/,3.05, 八王子駅 230m / 喫茶店、インドカレー,,
124,ドトールコーヒーショップ 両国東口店,https://tabelog.com/tokyo/A1312/A131201/13086931/,3.04, 両国駅 56m / カフェ、コーヒー専門店、喫茶店,,分煙
125,パークサイド,https://tabelog.com/tokyo/A1323/A132303/13088319/,3, 荒川遊園地前駅 971m / 喫茶店,,
126,Latoria,https://tabelog.com/tokyo/A1303/A130301/13213762/,3.02, 渋谷駅 718m / 喫茶店、カフェ・喫茶（その他）、紅茶専門店,,完全禁煙
127,珈琲さいとう.,https://tabelog.com/tokyo/A1317/A131712/13079545/,3.17, 戸越銀座駅 544m / コーヒー専門店、喫茶店,,喫煙可
128,ミヤマ,https://tabelog.com/tokyo/A1312/A131202/13088750/,3, 平井駅 107m / 喫茶店,,
129,ライト,https://tabelog.com/tokyo/A1324/A132401/13088846/,, 新三河島駅 202m / 喫茶店,,
130,星乃珈琲店 国立駅前店,https://tabelog.com/tokyo/A1325/A132503/13219922/,3.01, 国立駅 84m / 喫茶店,,
131,ブレスコーヒー,https://tabelog.com/tokyo/A1302/A130202/13035818/,3.2, 京橋駅 69m / カフェ、喫茶店、スイーツ（その他）,,分煙
132,キッチン ボンシェール,https://tabelog.com/tokyo/A1315/A131501/13096673/,3.23, 大井町駅 239m / 定食・食堂、喫茶店、洋食,,
133,カフェしろくま,https://tabelog.com/tokyo/A1329/A132903/13207957/,, 高幡不動駅 130m / 喫茶店,,
134,ディーズコーヒー,https://tabelog.com/tokyo/A1326/A132602/13166109/,3.07, 府中市 / カフェ、喫茶店、コーヒー専門店,,完全禁煙
135,デル コッファ,https://tabelog.com/tokyo/A1312/A131203/13143735/,3.32, 本所吾妻橋駅 97m / コーヒー専門店、喫茶店、カフェ・喫茶（その他）,,
136,きらく小屋,https://tabelog.com/tokyo/A1331/A133101/13117527/,3.15, 大島町 / 喫茶店,,分煙
137,ドリームコーヒー,https://tabelog.com/tokyo/A1305/A130501/13054266/,3.46, 池袋駅 468m / カフェ、喫茶店、コーヒー専門店,,喫煙可
138,デナリコーヒー,https://tabelog.com/tokyo/A1328/A132804/13137208/,3.04, 小川駅 280m / 喫茶店、コーヒー専門店,,
139,ブルーム,https://tabelog.com/tokyo/A1320/A132002/13088557/,, 三鷹市 / 喫茶店,,
140,ソレイユ,https://tabelog.com/tokyo/A1322/A132205/13088079/,, 板橋区役所前駅 140m / 喫茶店,,
141,Ginza Anna Cafe,https://tabelog.com/tokyo/A1301/A130101/13148933/,3.08, 新富町駅 330m / 喫茶店、弁当、コーヒー専門店,,完全禁煙
142,ヌウ,https://tabelog.com/tokyo/A1324/A132404/13076111/,, 五反野駅 466m / 喫茶店,,
143,アイドル,https://tabelog.com/tokyo/A1324/A132403/13075779/,3, 亀有駅 367m / 喫茶店,,
144,ケイママ,https://tabelog.com/tokyo/A1312/A131203/13141065/,3.11, 曳舟駅 421m / 喫茶店、定食・食堂,,完全禁煙
145,讃喫茶室 尾山台,https://tabelog.com/tokyo/A1317/A131715/13225088/,3.14, 尾山台駅 210m / コーヒー専門店、カフェ、喫茶店,,完全禁煙
146,プードル,https://tabelog.com/tokyo/A1324/A132401/13076172/,, 赤土小学校前駅 230m / 喫茶店,,
147,参番館,https://tabelog.com/tokyo/A1324/A132401/13089234/,3, 京成関屋駅 808m / 喫茶店,,
148,喫茶 フルール,https://tabelog.com/tokyo/A1302/A130203/13229059/,3, 八丁堀駅 261m / 喫茶店、カフェ,,
149,葡萄屋,https://tabelog.com/tokyo/A1324/A132403/13089493/,3, 柴又駅 217m / 喫茶店,,
150,コージースタンドコーヒー,https://tabelog.com/tokyo/A1326/A132601/13226524/,3.05, 調布駅 700m / カフェ、喫茶店、カフェ・喫茶（その他）,,完全禁煙
151,喫茶室ルノアール 西武新宿駅前店,https://tabelog.com/tokyo/A1304/A130401/13050781/,3.04, 西武新宿駅 129m / 喫茶店,,分煙
